2026-02-26T14:44:27Z watchdog: log file missing, no action
2026-02-27T12:45:01Z watchdog: stalled (age=586m) but max restarts reached (10), no action
2026-02-27T12:50:01Z watchdog: stalled (age=591m) but max restarts reached (10), no action
2026-02-27T13:05:01Z watchdog: stalled (age=606m) but max restarts reached (10), no action
2026-02-27T13:10:01Z watchdog: stalled (age=611m) but max restarts reached (10), no action
2026-02-27T13:20:01Z watchdog: stalled (age=621m) but max restarts reached (10), no action
2026-02-27T13:30:01Z watchdog: stalled (age=631m) but max restarts reached (10), no action
2026-02-27T13:35:01Z watchdog: stalled (age=636m) but max restarts reached (10), no action
2026-02-27T13:40:01Z watchdog: stalled (age=641m) but max restarts reached (10), no action
2026-02-27T13:50:01Z watchdog: stalled (age=651m) but max restarts reached (10), no action
2026-02-27T13:55:01Z watchdog: stalled (age=656m) but max restarts reached (10), no action
2026-02-27T14:00:01Z watchdog: stalled (age=661m) but max restarts reached (10), no action
2026-02-27T14:25:01Z watchdog: stalled (age=686m) but max restarts reached (10), no action
2026-02-27T14:35:01Z watchdog: stalled (age=696m) but max restarts reached (10), no action
2026-02-27T14:40:02Z watchdog: stalled (age=701m) but max restarts reached (10), no action
2026-02-27T14:45:01Z watchdog: stalled (age=706m) but max restarts reached (10), no action
2026-02-27T14:50:01Z watchdog: stalled (age=711m) but max restarts reached (10), no action
2026-02-27T14:55:01Z watchdog: stalled (age=716m) but max restarts reached (10), no action
2026-02-27T15:00:01Z watchdog: stalled (age=721m) but max restarts reached (10), no action
2026-02-27T15:05:01Z watchdog: stalled (age=726m) but max restarts reached (10), no action
2026-02-27T15:30:01Z watchdog: stalled (age=751m) but max restarts reached (10), no action
2026-02-27T15:35:01Z watchdog: stalled (age=756m) but max restarts reached (10), no action
2026-02-27T15:45:01Z watchdog: stalled (age=766m) but max restarts reached (10), no action
2026-02-27T15:50:01Z watchdog: stalled (age=771m) but max restarts reached (10), no action
2026-02-27T16:00:01Z watchdog: stalled (age=781m) but max restarts reached (10), no action
2026-02-27T16:10:01Z watchdog: stalled (age=791m) but max restarts reached (10), no action
2026-02-27T16:15:01Z watchdog: stalled (age=796m) but max restarts reached (10), no action
2026-02-27T16:30:01Z watchdog: stalled (age=811m) but max restarts reached (10), no action
2026-02-27T16:40:02Z watchdog: stalled (age=821m) but max restarts reached (10), no action
2026-02-27T16:55:02Z watchdog: stalled (age=836m) but max restarts reached (10), no action
2026-02-27T17:00:01Z watchdog: stalled (age=841m) but max restarts reached (10), no action
2026-02-27T17:10:01Z watchdog: stalled (age=851m) but max restarts reached (10), no action
2026-02-27T17:15:01Z watchdog: stalled (age=856m) but max restarts reached (10), no action
2026-02-27T17:20:02Z watchdog: stalled (age=861m) but max restarts reached (10), no action
2026-02-27T17:25:01Z watchdog: stalled (age=866m) but max restarts reached (10), no action
2026-02-27T17:30:01Z watchdog: stalled (age=871m) but max restarts reached (10), no action
2026-02-27T17:35:01Z watchdog: stalled (age=876m) but max restarts reached (10), no action
2026-02-27T17:45:01Z watchdog: stalled (age=886m) but max restarts reached (10), no action
2026-02-27T17:55:01Z watchdog: stalled (age=896m) but max restarts reached (10), no action
2026-02-27T18:00:01Z watchdog: stalled (age=901m) but max restarts reached (10), no action
2026-02-27T18:05:01Z watchdog: stalled (age=906m) but max restarts reached (10), no action
2026-02-27T18:15:01Z watchdog: stalled (age=916m) but max restarts reached (10), no action
2026-02-27T18:40:01Z watchdog: stalled (age=941m) but max restarts reached (10), no action
2026-02-27T18:45:01Z watchdog: stalled (age=946m) but max restarts reached (10), no action
2026-02-27T18:50:01Z watchdog: stalled (age=951m) but max restarts reached (10), no action
2026-02-27T18:55:01Z watchdog: stalled (age=956m) but max restarts reached (10), no action
2026-02-27T19:05:02Z watchdog: stalled (age=966m) but max restarts reached (10), no action
2026-02-27T19:10:01Z watchdog: stalled (age=971m) but max restarts reached (10), no action
2026-02-27T19:15:01Z watchdog: stalled (age=976m) but max restarts reached (10), no action
2026-02-27T19:35:01Z watchdog: stalled (age=996m) but max restarts reached (10), no action
2026-02-27T19:55:01Z watchdog: stalled (age=1016m) but max restarts reached (10), no action
2026-02-27T20:00:01Z watchdog: stalled (age=1021m) but max restarts reached (10), no action
2026-02-27T20:15:01Z watchdog: stalled (age=1036m) but max restarts reached (10), no action
2026-02-27T20:35:01Z watchdog: stalled (age=1056m) but max restarts reached (10), no action
2026-02-27T20:40:01Z watchdog: stalled (age=1061m) but max restarts reached (10), no action
2026-02-27T20:50:01Z watchdog: stalled (age=1071m) but max restarts reached (10), no action
2026-02-27T20:55:01Z watchdog: stalled (age=1076m) but max restarts reached (10), no action
2026-02-27T21:00:01Z watchdog: healthy (age=0m), no action
2026-02-27T21:10:01Z watchdog: healthy (age=9m), no action
2026-02-27T21:25:01Z watchdog: stalled (age=24m) but max restarts reached (10), no action
2026-02-27T22:00:01Z watchdog: stalled (age=59m) but max restarts reached (10), no action
2026-02-27T22:05:01Z watchdog: stalled (age=64m) but max restarts reached (10), no action
2026-02-27T22:20:01Z watchdog: stalled (age=79m) but max restarts reached (10), no action
2026-02-27T22:30:01Z watchdog: stalled (age=89m) but max restarts reached (10), no action
2026-02-27T22:50:02Z watchdog: stalled (age=109m) but max restarts reached (10), no action
2026-02-27T23:20:01Z watchdog: stalled (age=139m) but max restarts reached (10), no action
2026-02-27T23:25:01Z watchdog: stalled (age=144m) but max restarts reached (10), no action
2026-02-27T23:35:01Z watchdog: stalled (age=154m) but max restarts reached (10), no action
2026-02-27T23:40:01Z watchdog: stalled (age=159m) but max restarts reached (10), no action
2026-02-27T23:50:01Z watchdog: stalled (age=169m) but max restarts reached (10), no action
2026-02-28T00:10:01Z watchdog: stalled (age=189m) but max restarts reached (10), no action
2026-02-28T00:20:01Z watchdog: stalled (age=199m) but max restarts reached (10), no action
2026-02-28T00:30:01Z watchdog: stalled (age=209m) but max restarts reached (10), no action
2026-02-28T00:35:02Z watchdog: stalled (age=214m) but max restarts reached (10), no action
2026-02-28T00:40:01Z watchdog: stalled (age=219m) but max restarts reached (10), no action
2026-02-28T00:45:01Z watchdog: stalled (age=224m) but max restarts reached (10), no action
2026-02-28T00:50:01Z watchdog: stalled (age=229m) but max restarts reached (10), no action
2026-02-28T00:55:02Z watchdog: stalled (age=234m) but max restarts reached (10), no action
2026-02-28T01:05:01Z watchdog: stalled (age=244m) but max restarts reached (10), no action
2026-02-28T01:10:01Z watchdog: stalled (age=249m) but max restarts reached (10), no action
2026-02-28T01:15:01Z watchdog: stalled (age=254m) but max restarts reached (10), no action
2026-02-28T01:20:01Z watchdog: stalled (age=259m) but max restarts reached (10), no action
2026-02-28T01:25:01Z watchdog: stalled (age=264m) but max restarts reached (10), no action
2026-02-28T01:30:01Z watchdog: stalled (age=269m) but max restarts reached (10), no action
2026-02-28T01:35:01Z watchdog: stalled (age=274m) but max restarts reached (10), no action
2026-02-28T01:50:01Z watchdog: stalled (age=289m) but max restarts reached (10), no action
2026-02-28T02:00:02Z watchdog: stalled (age=299m) but max restarts reached (10), no action
2026-02-28T02:05:01Z watchdog: stalled (age=304m) but max restarts reached (10), no action
2026-02-28T02:10:01Z watchdog: stalled (age=309m) but max restarts reached (10), no action
2026-02-28T02:15:01Z watchdog: stalled (age=314m) but max restarts reached (10), no action
2026-02-28T02:20:01Z watchdog: stalled (age=319m) but max restarts reached (10), no action
2026-02-28T02:30:02Z watchdog: stalled (age=329m) but max restarts reached (10), no action
2026-02-28T02:35:01Z watchdog: stalled (age=334m) but max restarts reached (10), no action
2026-02-28T02:40:01Z watchdog: stalled (age=339m) but max restarts reached (10), no action
2026-02-28T02:45:01Z watchdog: stalled (age=344m) but max restarts reached (10), no action
2026-02-28T02:50:01Z watchdog: stalled (age=349m) but max restarts reached (10), no action
2026-02-28T02:55:02Z watchdog: stalled (age=354m) but max restarts reached (10), no action
2026-02-28T03:00:01Z watchdog: stalled (age=359m) but max restarts reached (10), no action
2026-02-28T03:10:01Z watchdog: stalled (age=369m) but max restarts reached (10), no action
2026-02-28T03:30:01Z watchdog: stalled (age=389m) but max restarts reached (10), no action
2026-02-28T03:35:01Z watchdog: stalled (age=394m) but max restarts reached (10), no action
2026-02-28T03:40:01Z watchdog: stalled (age=399m) but max restarts reached (10), no action
2026-02-28T03:50:01Z watchdog: stalled (age=409m) but max restarts reached (10), no action
2026-02-28T03:55:01Z watchdog: stalled (age=414m) but max restarts reached (10), no action
2026-02-28T04:00:01Z watchdog: stalled (age=419m) but max restarts reached (10), no action
2026-02-28T04:15:01Z watchdog: stalled (age=434m) but max restarts reached (10), no action
2026-02-28T04:30:02Z watchdog: stalled (age=449m) but max restarts reached (10), no action
2026-02-28T04:35:01Z watchdog: stalled (age=454m) but max restarts reached (10), no action
2026-02-28T04:40:01Z watchdog: stalled (age=459m) but max restarts reached (10), no action
2026-02-28T04:50:01Z watchdog: stalled (age=469m) but max restarts reached (10), no action
2026-02-28T04:55:01Z watchdog: stalled (age=474m) but max restarts reached (10), no action
2026-02-28T05:10:01Z watchdog: stalled (age=489m) but max restarts reached (10), no action
2026-02-28T05:20:01Z watchdog: stalled (age=499m) but max restarts reached (10), no action
2026-02-28T05:25:01Z watchdog: stalled (age=504m) but max restarts reached (10), no action
2026-02-28T05:30:01Z watchdog: stalled (age=509m) but max restarts reached (10), no action
2026-02-28T05:35:01Z watchdog: stalled (age=514m) but max restarts reached (10), no action
2026-02-28T05:45:01Z watchdog: stalled (age=524m) but max restarts reached (10), no action
2026-02-28T05:50:01Z watchdog: stalled (age=529m) but max restarts reached (10), no action
2026-02-28T05:55:01Z watchdog: stalled (age=534m) but max restarts reached (10), no action
2026-02-28T06:00:02Z watchdog: stalled (age=539m) but max restarts reached (10), no action
2026-02-28T06:15:01Z watchdog: stalled (age=554m) but max restarts reached (10), no action
2026-02-28T06:20:01Z watchdog: stalled (age=559m) but max restarts reached (10), no action
2026-02-28T06:30:01Z watchdog: stalled (age=569m) but max restarts reached (10), no action
2026-02-28T06:35:01Z watchdog: stalled (age=574m) but max restarts reached (10), no action
2026-02-28T06:45:01Z watchdog: stalled (age=584m) but max restarts reached (10), no action
2026-02-28T06:55:01Z watchdog: stalled (age=594m) but max restarts reached (10), no action
2026-02-28T07:05:01Z watchdog: stalled (age=604m) but max restarts reached (10), no action
2026-02-28T07:10:01Z watchdog: stalled (age=609m) but max restarts reached (10), no action
2026-02-28T07:15:01Z watchdog: stalled (age=614m) but max restarts reached (10), no action
2026-02-28T07:20:01Z watchdog: stalled (age=619m) but max restarts reached (10), no action
2026-02-28T07:25:01Z watchdog: stalled (age=624m) but max restarts reached (10), no action
2026-02-28T07:30:02Z watchdog: stalled (age=629m) but max restarts reached (10), no action
2026-02-28T07:35:01Z watchdog: stalled (age=634m) but max restarts reached (10), no action
2026-02-28T07:40:01Z watchdog: stalled (age=639m) but max restarts reached (10), no action
2026-02-28T07:45:01Z watchdog: stalled (age=644m) but max restarts reached (10), no action
2026-02-28T07:50:01Z watchdog: stalled (age=649m) but max restarts reached (10), no action
2026-02-28T07:55:01Z watchdog: stalled (age=654m) but max restarts reached (10), no action
2026-02-28T08:05:01Z watchdog: stalled (age=664m) but max restarts reached (10), no action
2026-02-28T08:10:01Z watchdog: stalled (age=669m) but max restarts reached (10), no action
2026-02-28T08:20:01Z watchdog: stalled (age=679m) but max restarts reached (10), no action
2026-02-28T08:30:01Z watchdog: stalled (age=689m) but max restarts reached (10), no action
2026-02-28T08:35:01Z watchdog: stalled (age=694m) but max restarts reached (10), no action
2026-02-28T08:40:01Z watchdog: stalled (age=699m) but max restarts reached (10), no action
2026-02-28T08:45:02Z watchdog: stalled (age=704m) but max restarts reached (10), no action
2026-02-28T09:00:01Z watchdog: stalled (age=719m) but max restarts reached (10), no action
2026-02-28T09:20:01Z watchdog: stalled (age=739m) but max restarts reached (10), no action
2026-02-28T09:30:01Z watchdog: stalled (age=749m) but max restarts reached (10), no action
2026-02-28T09:35:01Z watchdog: stalled (age=754m) but max restarts reached (10), no action
2026-02-28T09:40:01Z watchdog: stalled (age=759m) but max restarts reached (10), no action
2026-02-28T09:45:01Z watchdog: stalled (age=764m) but max restarts reached (10), no action
2026-02-28T09:50:01Z watchdog: stalled (age=769m) but max restarts reached (10), no action
2026-02-28T09:55:01Z watchdog: stalled (age=774m) but max restarts reached (10), no action
2026-02-28T10:00:02Z watchdog: stalled (age=779m) but max restarts reached (10), no action
2026-02-28T10:05:01Z watchdog: stalled (age=784m) but max restarts reached (10), no action
2026-02-28T10:15:01Z watchdog: stalled (age=794m) but max restarts reached (10), no action
2026-02-28T10:20:01Z watchdog: stalled (age=799m) but max restarts reached (10), no action
2026-02-28T10:25:01Z watchdog: stalled (age=804m) but max restarts reached (10), no action
2026-02-28T10:30:01Z watchdog: stalled (age=809m) but max restarts reached (10), no action
2026-02-28T10:50:01Z watchdog: stalled (age=829m) but max restarts reached (10), no action
2026-02-28T11:00:01Z watchdog: stalled (age=839m) but max restarts reached (10), no action
2026-02-28T11:05:01Z watchdog: stalled (age=844m) but max restarts reached (10), no action
2026-02-28T11:25:01Z watchdog: stalled (age=864m) but max restarts reached (10), no action
2026-02-28T11:40:01Z watchdog: stalled (age=879m) but max restarts reached (10), no action
2026-02-28T11:45:01Z watchdog: stalled (age=884m) but max restarts reached (10), no action
2026-02-28T11:50:01Z watchdog: stalled (age=889m) but max restarts reached (10), no action
2026-02-28T11:55:01Z watchdog: stalled (age=894m) but max restarts reached (10), no action
2026-02-28T12:00:01Z watchdog: stalled (age=899m) but max restarts reached (10), no action
2026-02-28T12:05:01Z watchdog: stalled (age=904m) but max restarts reached (10), no action
2026-02-28T12:20:01Z watchdog: stalled (age=919m) but max restarts reached (10), no action
2026-02-28T12:25:01Z watchdog: stalled (age=924m) but max restarts reached (10), no action
2026-02-28T12:35:01Z watchdog: stalled (age=934m) but max restarts reached (10), no action
2026-02-28T12:50:01Z watchdog: stalled (age=949m) but max restarts reached (10), no action
2026-02-28T13:00:01Z watchdog: stalled (age=959m) but max restarts reached (10), no action
2026-02-28T13:10:01Z watchdog: stalled (age=969m) but max restarts reached (10), no action
2026-02-28T13:15:01Z watchdog: stalled (age=974m) but max restarts reached (10), no action
2026-02-28T13:20:01Z watchdog: stalled (age=979m) but max restarts reached (10), no action
2026-02-28T13:25:01Z watchdog: stalled (age=984m) but max restarts reached (10), no action
2026-02-28T13:30:01Z watchdog: stalled (age=989m) but max restarts reached (10), no action
2026-02-28T13:35:02Z watchdog: stalled (age=994m) but max restarts reached (10), no action
2026-02-28T13:40:01Z watchdog: stalled (age=999m) but max restarts reached (10), no action
2026-02-28T13:55:01Z watchdog: stalled (age=1014m) but max restarts reached (10), no action
2026-02-28T14:00:01Z watchdog: stalled (age=1019m) but max restarts reached (10), no action
2026-02-28T14:05:01Z watchdog: stalled (age=1024m) but max restarts reached (10), no action
2026-02-28T14:15:01Z watchdog: stalled (age=1034m) but max restarts reached (10), no action
2026-02-28T14:20:01Z watchdog: stalled (age=1039m) but max restarts reached (10), no action
2026-02-28T14:35:01Z watchdog: stalled (age=1054m) but max restarts reached (10), no action
2026-02-28T14:40:01Z watchdog: stalled (age=1059m) but max restarts reached (10), no action
2026-02-28T14:55:01Z watchdog: stalled (age=1074m) but max restarts reached (10), no action
2026-02-28T15:00:01Z watchdog: stalled (age=1079m) but max restarts reached (10), no action
2026-02-28T15:05:01Z watchdog: stalled (age=1084m) but max restarts reached (10), no action
2026-02-28T15:10:01Z watchdog: stalled (age=1089m) but max restarts reached (10), no action
2026-02-28T15:15:01Z watchdog: stalled (age=1094m) but max restarts reached (10), no action
2026-02-28T15:20:01Z watchdog: stalled (age=1099m) but max restarts reached (10), no action
